f, X_norm
15, 0.025473
 30, 0.015585
 45, 0.026250
 60, 0.037839
 75, 0.077694
 90, 0.225522
 105, 1.223958
 120, 6.532469
 135, 6.545661
 150, 1.215090
 165, 0.244463
 180, 0.028881
 195, 0.057818
 210, 0.031491
 225, 0.113911
 240, 2.129455
 255, 3.715818
 270, 1.628838
 285, 0.111413
 300, 0.014817
 315, 0.034543
 330, 0.062512
 345, 0.181685
 360, 1.446165
 375, 5.075865
 390, 4.195249
 405, 0.545062
 420, 0.306217
 435, 0.116775
 450, 0.017060
 465, 0.266406
 480, 0.729939
 495, 4.223099
 510, 6.250191
 525, 2.501356
 540, 1.243589
 555, 0.584256
 570, 0.279996
 585, 0.397822
 600, 0.614522
 615, 4.013221
 630, 10.697654
 645, 8.118076
 660, 1.331059
 675, 0.438155
 690, 0.061525
 705, 0.264588
 720, 0.584492
 735, 0.639189
 750, 2.957512
 765, 4.101888
 780, 0.933783
 795, 1.197527
 810, 0.359470
 825, 0.249182
 840, 0.409985
 855, 1.000501
 870, 4.612661
 885, 9.731445
 900, 6.428771
 915, 1.855043
 930, 0.422587
 945, 0.217010
 960, 0.086537
 975, 0.475844
 990, 0.761893
 1005, 1.987902
 1020, 2.287382
 1035, 0.519595
 1050, 0.240517
 1065, 0.056366
 1080, 0.034244
 1095, 0.075389
 1110, 0.142615
 1125, 0.435799
 1140, 0.771014
 1155, 0.451328
 1170, 0.171819
 1185, 0.030086
 1200, 0.013575
 1215, 0.023202
 1230, 0.049765
 1245, 0.102272
 1260, 0.331380
 1275, 0.330959
 1290, 0.044094
 1305, 0.043140
 1320, 0.009712
 1335, 0.023925
 1350, 0.055521
 1365, 0.080667
 1380, 0.156242
 1395, 0.225228
 1410, 0.113449
 1425, 0.066947
 1440, 0.015048
 1455, 0.006576
 1470, 0.009984
 1485, 0.023765
 1500, 0.076245
 1515, 0.200929
 1530, 0.175258
 1545, 0.037728
 1560, 0.040344
 1575, 0.003432
 1590, 0.013024
 1605, 0.033008
 1620, 0.045582
 1635, 0.072347
 1650, 0.089940
 1665, 0.047995
 1680, 0.050100
 1695, 0.018538
 1710, 0.007340
 1725, 0.006003
 1740, 0.019486
 1755, 0.059124
 1770, 0.121339
 1785, 0.091599
 1800, 0.042648
 1815, 0.026438
 1830, 0.003583
 1845, 0.006937
 1860, 0.016817
 1875, 0.034826
 1890, 0.087325
 1905, 0.109517
 1920, 0.041145
 1935, 0.031878
 1950, 0.014301
 1965, 0.010486
 1980, 0.002888
 1995, 0.010040
 2010, 0.035976
 2025, 0.073498
 2040, 0.045580
 2055, 0.035311
 2070, 0.024846
 2085, 0.012369
 2100, 0.012854
 2115, 0.008043
 2130, 0.035516
 2145, 0.104881
 2160, 0.101194
 2175, 0.029014
 2190, 0.031986
 2205, 0.008765
 2220, 0.005790
 2235, 0.009516
 2250, 0.028476
 2265, 0.064650
 2280, 0.093654
 2295, 0.052354
 2310, 0.051104
 2325, 0.025987
 2340, 0.009678
 2355, 0.006623
 2370, 0.009284
 2385, 0.044728
 2400, 0.082045
 2415, 0.055080
 2430, 0.046379
 2445, 0.038713
 2460, 0.004505
 2475, 0.006464
 2490, 0.030949
 2505, 0.090433
 2520, 0.155930
 2535, 0.198328
 2550, 0.056480
 2565, 0.156505
 2580, 0.090344
 2595, 0.032697
 2610, 0.082313
 2625, 0.221840
 2640, 0.418155
 2655, 0.664560
 2670, 0.521363
 2685, 0.513632
 2700, 0.560499
 2715, 0.113292
 2730, 0.148201
 2745, 0.408217
 2760, 0.612031
 2775, 0.825495
 2790, 0.999023
 2805, 0.295478
 2820, 0.408351
 2835, 0.200308
 2850, 0.002879
 2865, 0.152807
 2880, 0.346572
 2895, 0.552840
 2910, 0.781659
 2925, 0.608122
 2940, 0.466131
 2955, 0.478698
 2970, 0.159295
 2985, 0.113909
 3000, 0.295429
 3015, 0.559670
 3030, 0.921834
 3045, 1.235944
 3060, 0.832856
 3075, 0.646580
 3090, 0.230050
 3105, 0.108865
 3120, 0.091452
 3135, 0.178186
 3150, 0.249384
 3165, 0.275298
 3180, 0.150107
 3195, 0.123481
 3210, 0.113835
 3225, 0.068091
 3240, 0.066593
 3255, 0.189534
 3270, 0.243039
 3285, 0.238976
 3300, 0.192105
 3315, 0.104346
 3330, 0.117122
 3345, 0.026556
 3360, 0.034091
 3375, 0.038056
 3390, 0.072574
 3405, 0.125262
 3420, 0.137372
 3435, 0.069198
 3450, 0.059897
 3465, 0.046756
 3480, 0.034251
 3495, 0.028877
 3510, 0.073669
 3525, 0.103699
 3540, 0.096146
 3555, 0.057872
 3570, 0.048901
 3585, 0.078788
 3600, 0.027043
 3615, 0.018017
 3630, 0.027516
 3645, 0.052653
 3660, 0.073264
 3675, 0.066526
 3690, 0.022335
 3705, 0.023152
 3720, 0.008024
 3735, 0.003646
 3750, 0.009747
 3765, 0.018492
 3780, 0.023745
 3795, 0.018517
 3810, 0.008365
 3825, 0.007057
 
