f, X_db
15, 18.937973
 30, 14.670504
 45, 19.199147
 60, 22.375324
 75, 28.624282
 90, 37.880319
 105, 52.571858
 120, 67.118075
 135, 67.135599
 150, 52.508695
 165, 38.580783
 180, 20.028913
 195, 26.057796
 210, 20.780218
 225, 31.947817
 240, 57.381897
 255, 62.217617
 270, 55.054084
 285, 31.755207
 300, 14.231750
 315, 21.583714
 330, 26.735782
 345, 36.002900
 360, 54.020885
 375, 64.926729
 390, 63.271683
 405, 45.545439
 420, 40.537109
 435, 32.163490
 450, 15.456003
 465, 39.327407
 480, 48.082255
 495, 63.329154
 510, 66.734393
 525, 58.780037
 540, 52.710067
 555, 46.148587
 570, 39.759578
 585, 42.810307
 600, 46.587283
 615, 62.886390
 630, 71.402299
 645, 69.005591
 660, 53.300472
 675, 43.649083
 690, 26.597628
 705, 39.267945
 720, 46.152104
 735, 46.929109
 750, 60.235057
 765, 63.076204
 780, 50.221452
 795, 52.382236
 810, 41.929777
 825, 38.746849
 840, 43.071893
 855, 50.820879
 870, 64.095558
 885, 70.580075
 900, 66.979087
 915, 56.183608
 930, 43.334850
 945, 37.546117
 960, 29.560576
 975, 44.365827
 990, 48.454410
 1005, 56.784428
 1020, 58.003301
 1035, 45.129822
 1050, 38.439443
 1065, 25.836876
 1080, 21.508283
 1095, 28.362670
 1110, 33.899855
 1125, 43.602255
 1140, 48.557771
 1155, 43.906376
 1170, 35.517965
 1185, 20.383848
 1200, 13.471286
 1215, 18.127125
 1230, 24.754970
 1245, 31.011629
 1260, 41.223063
 1275, 41.212016
 1290, 23.704077
 1305, 23.514145
 1320, 10.562492
 1335, 18.393422
 1350, 25.705683
 1365, 28.950397
 1380, 34.692482
 1395, 37.868976
 1410, 31.912543
 1425, 27.331171
 1440, 14.365891
 1455, 7.175633
 1470, 10.802360
 1485, 18.335306
 1500, 28.460723
 1515, 36.877382
 1530, 35.690092
 1545, 22.349844
 1560, 22.932138
 1575, 1.528069
 1590, 13.111086
 1605, 21.188913
 1620, 23.992435
 1635, 28.004950
 1650, 29.895581
 1665, 24.440362
 1680, 24.813208
 1695, 16.177989
 1710, 8.130198
 1725, 6.383264
 1740, 16.611051
 1755, 26.251815
 1770, 32.496519
 1785, 30.054300
 1800, 23.414538
 1815, 19.261045
 1830, 1.900399
 1845, 7.640050
 1860, 15.331706
 1875, 21.654554
 1890, 29.639258
 1905, 31.606176
 1920, 23.102935
 1935, 20.886317
 1950, 13.923733
 1965, 11.228452
 1980, 0.029823
 1995, 10.851007
 2010, 21.936854
 2025, 28.142016
 2040, 23.991971
 2055, 21.774679
 2070, 18.721702
 2085, 12.663487
 2100, 12.997319
 2115, 8.924968
 2130, 21.824955
 2145, 31.230446
 2160, 30.919613
 2175, 20.068646
 2190, 20.915684
 2205, 9.671209
 2220, 6.069911
 2235, 10.385272
 2250, 19.906121
 2265, 27.027879
 2280, 30.247062
 2295, 25.195603
 2310, 24.985600
 2325, 19.111776
 2340, 10.532584
 2355, 7.237607
 2370, 10.171061
 2385, 23.828032
 2400, 29.097523
 2415, 25.636441
 2430, 24.143032
 2445, 22.573756
 2460, 3.890637
 2475, 7.027033
 2490, 20.629414
 2505, 29.943081
 2520, 34.675113
 2535, 36.764197
 2550, 25.854448
 2565, 34.707118
 2580, 29.934492
 2595, 21.106682
 2610, 29.125912
 2625, 37.737337
 2640, 43.243268
 2655, 47.267218
 2670, 45.159325
 2685, 45.029564
 2700, 45.788031
 2715, 31.900510
 2730, 34.233533
 2745, 43.034352
 2760, 46.551991
 2775, 49.150812
 2790, 50.808041
 2805, 40.227040
 2820, 43.037207
 2835, 36.850491
 2850, 0.000003
 2865, 34.499405
 2880, 41.612402
 2895, 45.668524
 2910, 48.676875
 2925, 46.496346
 2940, 44.186686
 2955, 44.417759
 2970, 34.860596
 2985, 31.947716
 3000, 40.225600
 3015, 45.775165
 3030, 50.109585
 3045, 52.656501
 3060, 49.227930
 3075, 47.028971
 3090, 38.052975
 3105, 31.554305
 3120, 30.040365
 3135, 35.833982
 3150, 38.753883
 3165, 39.612584
 3180, 34.344572
 3195, 32.648564
 3210, 31.942062
 3225, 27.478381
 3240, 27.285161
 3255, 36.370293
 3270, 38.530057
 3285, 38.383629
 3300, 36.487311
 3315, 31.186011
 3330, 32.189286
 3345, 19.299679
 3360, 21.469356
 3375, 22.424881
 3390, 28.032203
 3405, 32.772885
 3420, 33.574499
 3435, 27.618379
 3450, 26.364572
 3465, 24.213204
 3480, 21.509881
 3495, 20.027480
 3510, 28.162201
 3525, 31.132003
 3540, 30.475164
 3555, 26.065911
 3570, 24.602967
 3585, 28.745737
 3600, 19.457557
 3615, 15.930184
 3630, 19.608081
 3645, 25.244910
 3660, 28.114316
 3675, 27.276394
 3690, 17.796257
 3705, 18.108438
 3720, 8.904692
 3735, 2.052863
 3750, 10.594155
 3765, 16.156221
 3780, 18.328031
 3795, 16.168038
 3810, 9.265695
 3825, 7.788516
 
