f, X_norm
15, 0.594690
 30, 0.640382
 45, 0.373079
 60, 0.894830
 75, 0.930867
 90, 0.924844
 105, 0.935358
 120, 0.919995
 135, 1.138922
 150, 1.166600
 165, 1.372367
 180, 1.398255
 195, 2.112215
 210, 2.998992
 225, 4.679188
 240, 10.787373
 255, 29.533840
 270, 6.478860
 285, 3.993984
 300, 2.603399
 315, 1.969750
 330, 1.699190
 345, 1.268709
 360, 1.431755
 375, 1.353542
 390, 1.217796
 405, 1.092898
 420, 1.026248
 435, 0.963689
 450, 1.009024
 465, 1.298217
 480, 1.797759
 495, 4.711087
 510, 4.270912
 525, 1.423886
 540, 1.194518
 555, 0.835628
 570, 0.851151
 585, 0.918988
 600, 0.749069
 615, 0.939071
 630, 0.707437
 645, 0.779484
 660, 1.230974
 675, 0.865100
 690, 0.869952
 705, 1.301272
 720, 1.507034
 735, 2.269148
 750, 11.318011
 765, 2.526978
 780, 1.060794
 795, 0.249688
 810, 0.507777
 825, 0.454313
 840, 0.569185
 855, 0.495227
 870, 0.376040
 885, 0.260264
 900, 0.734274
 915, 0.616843
 930, 0.148798
 945, 0.364864
 960, 0.472048
 975, 0.438368
 990, 0.483551
 1005, 6.492470
 1020, 0.172853
 1035, 0.356562
 1050, 0.408812
 1065, 0.140511
 1080, 0.234042
 1095, 0.725561
 1110, 0.327792
 1125, 0.529940
 1140, 0.188996
 1155, 0.482971
 1170, 0.404469
 1185, 0.759366
 1200, 0.909382
 1215, 0.900371
 1230, 2.060122
 1245, 4.608771
 1260, 8.607130
 1275, 2.488071
 1290, 1.527944
 1305, 0.861472
 1320, 0.556576
 1335, 0.782402
 1350, 0.595925
 1365, 0.644994
 1380, 0.387167
 1395, 0.534142
 1410, 0.523838
 1425, 0.466693
 1440, 0.606957
 1455, 0.388409
 1470, 0.235044
 1485, 0.398772
 1500, 0.834449
 1515, 0.647407
 1530, 0.230115
 1545, 0.183250
 1560, 0.177462
 1575, 0.122487
 1590, 0.111325
 1605, 0.229064
 1620, 0.133206
 1635, 0.132503
 1650, 0.199466
 1665, 0.035807
 1680, 0.106666
 1695, 0.081222
 1710, 0.093728
 1725, 0.166984
 1740, 0.276508
 1755, 1.816708
 1770, 0.275906
 1785, 0.164389
 1800, 0.121251
 1815, 0.046050
 1830, 0.131119
 1845, 0.153400
 1860, 0.086362
 1875, 0.078118
 1890, 0.043162
 1905, 0.084385
 1920, 0.076453
 1935, 0.059144
 1950, 0.078861
 1965, 0.047182
 1980, 0.070451
 1995, 0.067282
 2010, 0.085181
 2025, 0.070724
 2040, 0.050107
 2055, 0.065520
 2070, 0.079842
 2085, 0.058902
 2100, 0.078179
 2115, 0.054940
 2130, 0.073547
 2145, 0.069403
 2160, 0.071298
 2175, 0.078044
 2190, 0.106013
 2205, 0.130576
 2220, 0.159705
 2235, 0.246387
 2250, 0.511102
 2265, 0.754391
 2280, 0.129502
 2295, 0.147100
 2310, 0.101059
 2325, 0.081423
 2340, 0.053419
 2355, 0.049601
 2370, 0.068568
 2385, 0.040951
 2400, 0.041263
 2415, 0.022073
 2430, 0.034356
 2445, 0.026697
 2460, 0.007601
 2475, 0.008521
 2490, 0.034913
 2505, 0.169320
 2520, 0.118533
 2535, 0.060733
 2550, 0.047778
 2565, 0.043515
 2580, 0.070972
 2595, 0.146457
 2610, 0.057074
 2625, 0.060590
 2640, 0.033316
 2655, 0.145987
 2670, 0.011074
 2685, 0.072063
 2700, 0.051918
 2715, 0.046866
 2730, 0.035343
 2745, 0.091850
 2760, 0.884950
 2775, 0.080301
 2790, 0.037328
 2805, 0.108231
 2820, 0.097638
 2835, 0.034489
 2850, 0.089408
 2865, 0.170260
 2880, 0.198405
 2895, 0.131472
 2910, 0.280667
 2925, 0.197241
 2940, 0.154582
 2955, 0.043012
 2970, 0.082803
 2985, 0.147613
 3000, 0.228908
 3015, 1.310790
 3030, 0.313015
 3045, 0.186467
 3060, 0.162418
 3075, 0.184802
 3090, 0.162044
 3105, 0.147307
 3120, 0.040937
 3135, 0.096137
 3150, 0.124623
 3165, 0.120959
 3180, 0.089553
 3195, 0.140252
 3210, 0.117303
 3225, 0.167908
 3240, 0.145407
 3255, 0.371843
 3270, 0.244539
 3285, 0.012881
 3300, 0.055838
 3315, 0.030722
 3330, 0.064718
 3345, 0.052714
 3360, 0.104239
 3375, 0.051467
 3390, 0.104609
 3405, 0.075355
 3420, 0.176457
 3435, 0.160769
 3450, 0.071056
 3465, 0.067813
 3480, 0.095258
 3495, 0.402751
 3510, 1.335858
 3525, 0.281553
 3540, 0.136455
 3555, 0.136599
 3570, 0.191125
 3585, 0.020508
 3600, 0.123819
 3615, 0.086107
 3630, 0.106556
 3645, 0.032457
 3660, 0.050313
 3675, 0.135238
 3690, 0.070612
 3705, 0.012174
 3720, 0.061651
 3735, 0.037808
 3750, 0.042355
 3765, 0.123193
 3780, 0.020971
 3795, 0.027812
 3810, 0.033025
 3825, 0.041674
 
