kf, X_kfre
0, 3.861080
 1, 4.023665
 2, 4.096442
 3, 3.918094
 4, 3.487422
 5, 3.505565
 6, 4.245142
 7, 4.421439
 8, 3.241644
 9, 2.774552
 10, 5.065779
 11, 4.909544
 12, 3.546231
 13, 1.148234
 14, 3.135505
 15, 6.353491
 16, 4.056298
 17, 1.860656
 18, 1.068689
 19, 3.168491
 20, 3.010756
 21, 5.561824
 22, 5.961243
 23, 6.605075
 24, 0.794730
 25, 4.711909
 26, 5.546990
 27, 6.025763
 28, 1.132868
 29, 7.759172
 30, 15.708337
 31, 15.605108
 32, 8.969488
 33, 6.281605
 34, 17.610447
 35, 21.143419
 36, 17.622477
 37, 7.560141
 38, 14.021536
 39, 24.650658
 40, 25.306913
 41, 13.597895
 42, 8.681181
 43, 24.008591
 44, 25.843027
 45, 11.722134
 46, 7.783814
 47, 20.906988
 48, 32.064890
 49, 24.787153
 50, 11.148147
 51, 18.509555
 52, 29.322317
 53, 27.441382
 54, 15.768949
 55, 13.634726
 56, 20.052101
 57, 34.102912
 58, 24.550284
 59, 6.925965
 60, 19.309020
 61, 37.212400
 62, 24.802661
 63, 11.059557
 64, 18.776702
 65, 25.560719
 66, 37.007122
 67, 21.543179
 68, 15.368228
 69, 21.655975
 70, 27.484092
 71, 26.241258
 72, 10.152618
 73, 19.538096
 74, 33.365906
 75, 26.301198
 76, 12.158747
 77, 14.308183
 78, 26.433095
 79, 31.812931
 80, 15.975452
 81, 16.109476
 82, 30.110341
 83, 31.139183
 84, 21.270943
 85, 17.594934
 86, 12.757192
 87, 25.048713
 88, 19.196036
 89, 10.834531
 90, 5.978974
 91, 14.754213
 92, 9.713613
 93, 4.663462
 94, 2.741675
 95, 19.925406
 96, 11.245916
 97, 8.407914
 98, 4.292061
 99, 4.567162
 100, 7.200162
 101, 5.460633
 102, 1.109521
 103, 3.913807
 
