kf, X_kfre
0, 48.110255
 15, 51.589247
 30, 54.355703
 45, 56.291634
 60, 57.355289
 75, 57.576981
 90, 57.055841
 105, 55.955595
 120, 54.496562
 135, 52.939770
 150, 51.558503
 165, 50.595301
 180, 50.211210
 195, 50.445899
 210, 51.210018
 225, 52.316052
 240, 53.532514
 255, 54.638697
 270, 55.465530
 285, 55.919352
 300, 55.990856
 315, 55.751436
 330, 55.337275
 345, 54.920512
 360, 54.668811
 375, 54.700181
 390, 55.046423
 405, 55.639545
 420, 56.326989
 435, 56.908483
 450, 57.180171
 465, 56.973664
 480, 56.184143
 495, 54.786767
 510, 52.842623
 525, 50.495010
 540, 47.955220
 555, 45.475130
 570, 43.304038
 585, 41.632817
 600, 40.541298
 615, 39.975317
 630, 39.770622
 645, 39.712627
 660, 39.601679
 675, 39.299789
 690, 38.751967
 705, 37.985892
 720, 37.095192
 735, 36.210142
 750, 35.459969
 765, 34.934792
 780, 34.659705
 795, 34.592136
 810, 34.643535
 825, 34.714487
 840, 34.728065
 855, 34.650616
 870, 34.495970
 885, 34.313788
 900, 34.165901
 915, 34.097730
 930, 34.114815
 945, 34.174109
 960, 34.194107
 975, 34.079857
 990, 33.753963
 1005, 33.184910
 1020, 32.406723
 1035, 31.525572
 1050, 30.708157
 1065, 30.146263
 1080, 29.998363
 1095, 30.327060
 1110, 31.066929
 1125, 32.044594
 1140, 33.037162
 1155, 33.836375
 1170, 34.297195
 1185, 34.367220
 1200, 34.100107
 1215, 33.653466
 1230, 33.265417
 1245, 33.200960
 1260, 33.669814
 1275, 34.745417
 1290, 36.333071
 1305, 38.207156
 1320, 40.087638
 1335, 41.712883
 1350, 42.888709
 1365, 43.514780
 1380, 43.594927
 1395, 43.234826
 1410, 42.625708
 1425, 42.009712
 1440, 41.624301
 1455, 41.634038
 1470, 42.074472
 1485, 42.837546
 1500, 43.706922
 1515, 44.422365
 1530, 44.743807
 1545, 44.498528
 1560, 43.609731
 1575, 42.111040
 1590, 40.150580
 1605, 37.983675
 1620, 35.945881
 1635, 34.391364
 1650, 33.590014
 1665, 33.617438
 1680, 34.313696
 1695, 35.349186
 1710, 36.344717
 1725, 36.971003
 1740, 37.003000
 1755, 36.343229
 1770, 35.033275
 1785, 33.264588
 1800, 31.388410
 1815, 29.903977
 1830, 29.371608
 1845, 30.208795
 1860, 32.476261
 1875, 35.869609
 1890, 39.908964
 1905, 44.119405
 
