kf, X_kfre
2, 2.426357
 3, 6.270893
 4, 3.283552
 5, 4.382450
 6, 4.711737
 7, 4.136552
 8, 7.261148
 9, 4.752343
 10, 2.020158
 11, 3.277181
 12, 3.296472
 13, 3.170176
 14, 5.251477
 15, 4.792007
 16, 2.625359
 17, 1.568051
 18, 3.659097
 19, 1.585802
 20, 2.993499
 21, 2.790108
 22, 1.693990
 23, 2.808443
 24, 4.532251
 25, 0.356626
 26, 2.664589
 27, 0.218804
 28, 1.576206
 29, 2.109800
 30, 1.996074
 31, 0.719738
 32, 1.380383
 33, 1.523189
 34, 1.206631
 35, 1.681940
 36, 2.965233
 37, 2.818736
 38, 2.504757
 39, 1.631730
 40, 1.732568
 41, 2.531044
 42, 1.934184
 43, 0.979119
 44, 0.897332
 45, 0.855019
 46, 3.839403
 47, 1.480391
 48, 2.401754
 49, 2.036779
 50, 2.245130
 51, 2.279710
 52, 0.312423
 53, 2.399841
 54, 1.723479
 55, 3.197118
 56, 0.986387
 57, 0.934108
 58, 1.291874
 59, 0.827670
 60, 1.473706
 61, 0.435345
 62, 2.077272
 63, 0.654431
 64, 2.094474
 65, 2.474010
 66, 1.415551
 67, 0.820739
 68, 1.899872
 69, 1.426508
 70, 1.709545
 71, 2.582909
 72, 3.337221
 73, 1.892392
 74, 0.879425
 75, 1.060997
 76, 1.149395
 77, 1.716718
 78, 2.200631
 79, 2.403697
 80, 1.849937
 81, 0.241389
 82, 2.375786
 83, 2.289836
 84, 0.746986
 85, 2.297397
 86, 1.650664
 87, 1.427140
 88, 0.641814
 89, 1.066769
 90, 1.828866
 91, 1.306386
 92, 2.611719
 93, 0.789822
 94, 1.380370
 95, 1.427615
 96, 2.015710
 97, 0.631290
 98, 1.487793
 99, 1.455291
 100, 1.985449
 101, 2.846097
 102, 1.006877
 103, 0.964698
 104, 1.198458
 105, 1.012161
 106, 1.115777
 107, 1.544152
 108, 0.145256
 109, 1.302474
 110, 1.836296
 111, 0.789212
 112, 2.854348
 113, 2.748737
 114, 0.670963
 115, 1.221965
 116, 1.055468
 117, 1.935603
 118, 1.062468
 119, 1.493806
 120, 3.609327
 121, 1.488415
 122, 1.301401
 123, 3.059446
 124, 2.304562
 125, 0.487514
 126, 1.071346
 127, 1.790535
 
