f, X_norm
0, 0.004852
 125, 0.219822
 250, 0.030502
 375, 0.014632
 500, 0.013227
 625, 0.009718
 750, 0.005578
 875, 0.004394
 1000, 0.004793
 1125, 0.020220
 1250, 0.009429
 1375, 0.007182
 1500, 0.006467
 1625, 0.008149
 1750, 0.006179
 1875, 0.011283
 2000, 0.007350
 2125, 0.001982
 2250, 0.003824
 2375, 0.005991
 2500, 0.001595
 2625, 0.002533
 2750, 0.001440
 2875, 0.002370
 3000, 0.005288
 3125, 0.005803
 3250, 0.005747
 3375, 0.002233
 3500, 0.004760
 3625, 0.002841
 3750, 0.003425
 3875, 0.002700
 
