f, X_norm
0, 0.283051
 125, 0.355335
 250, 0.032316
 375, 0.091528
 500, 0.066405
 625, 0.056670
 750, 0.026574
 875, 0.021295
 1000, 0.038858
 1125, 0.061148
 1250, 0.036528
 1375, 0.031765
 1500, 0.048210
 1625, 0.033208
 1750, 0.029365
 1875, 0.026675
 2000, 0.031532
 2125, 0.036340
 2250, 0.007744
 2375, 0.017497
 2500, 0.005656
 2625, 0.030920
 2750, 0.016224
 2875, 0.019445
 3000, 0.008737
 3125, 0.021461
 3250, 0.019942
 3375, 0.027224
 3500, 0.027825
 3625, 0.013484
 3750, 0.008656
 3875, 0.000695
 
