f, X_norm
0.000000, -0.000174
 0.000125, -0.000084
 0.000250, 0.000071
 0.000375, 0.000186
 0.000500, 0.000345
 0.000625, 0.000746
 0.000750, 0.001350
 0.000875, 0.001691
 0.001000, 0.001183
 0.001125, -0.000291
 0.001250, -0.002125
 0.001375, -0.003351
 0.001500, -0.003316
 0.001625, -0.002055
 0.001750, -0.000153
 0.001875, 0.001564
 0.002000, 0.002191
 0.002125, 0.000831
 0.002250, -0.003018
 0.002375, -0.008780
 0.002500, -0.014378
 0.002625, -0.016759
 0.002750, -0.013411
 0.002875, -0.004076
 0.003000, 0.008444
 0.003125, 0.019111
 0.003250, 0.022889
 0.003375, 0.017400
 0.003500, 0.004596
 0.003625, -0.009674
 0.003750, -0.018239
 0.003875, -0.016112
 0.004000, -0.002977
 0.004125, 0.016672
 0.004250, 0.035563
 0.004375, 0.046542
 0.004500, 0.044986
 0.004625, 0.030271
 0.004750, 0.006288
 0.004875, -0.019281
 0.005000, -0.037423
 0.005125, -0.041616
 0.005250, -0.031170
 0.005375, -0.011815
 0.005500, 0.007064
 0.005625, 0.016740
 0.005750, 0.012314
 0.005875, -0.006334
 0.006000, -0.034786
 0.006125, -0.064343
 0.006250, -0.082953
 0.006375, -0.078788
 0.006500, -0.046665
 0.006625, 0.006203
 0.006750, 0.060329
 0.006875, 0.092182
 0.007000, 0.086743
 0.007125, 0.046574
 0.007250, -0.008675
 0.007375, -0.052155
 0.007500, -0.063029
 0.007625, -0.035604
 0.007750, 0.019493
 0.007875, 0.081047
 0.008000, 0.125987
 0.008125, 0.137430
 0.008250, 0.110037
 0.008375, 0.051836
 0.008500, -0.018074
 0.008625, -0.076011
 0.008750, -0.102840
 0.008875, -0.092058
 0.009000, -0.052578
 0.009125, -0.004436
 0.009250, 0.030262
 0.009375, 0.036088
 0.009500, 0.008827
 0.009625, -0.044411
 0.009750, -0.107149
 0.009875, -0.156405
 0.010000, -0.168163
 0.010125, -0.127186
 0.010250, -0.038212
 0.010375, 0.069665
 0.010500, 0.152573
 0.010625, 0.173521
 0.010750, 0.123759
 0.010875, 0.029334
 0.011000, -0.062324
 0.011125, -0.107194
 0.011250, -0.085407
 0.011375, -0.007318
 0.011500, 0.094791
 0.011625, 0.181637
 0.011750, 0.221039
 0.011875, 0.197909
 0.012000, 0.119069
 0.012125, 0.011338
 0.012250, -0.088258
 0.012375, -0.147381
 0.012500, -0.151320
 0.012625, -0.107259
 0.012750, -0.038830
 0.012875, 0.024109
 0.013000, 0.054885
 0.013125, 0.036960
 0.013250, -0.030122
 0.013375, -0.126345
 0.013500, -0.213187
 0.013625, -0.246651
 0.013750, -0.198840
 0.013875, -0.076589
 0.014000, 0.076264
 0.014125, 0.197640
 0.014250, 0.237869
 0.014375, 0.184727
 0.014500, 0.068662
 0.014625, -0.053638
 0.014750, -0.126857
 0.014875, -0.120799
 0.015000, -0.040022
 0.015125, 0.081888
 0.015250, 0.197685
 0.015375, 0.264040
 0.015500, 0.255945
 0.015625, 0.174812
 0.015750, 0.048174
 0.015875, -0.080049
 0.016000, -0.166580
 0.016125, -0.186440
 0.016250, -0.142596
 0.016375, -0.062571
 0.016500, 0.015391
 0.016625, 0.058250
 0.016750, 0.048597
 0.016875, -0.012185
 0.017000, -0.105141
 0.017125, -0.197261
 0.017250, -0.249203
 0.017375, -0.229560
 0.017500, -0.132157
 0.017625, 0.014205
 0.017750, 0.153756
 0.017875, 0.229273
 0.018000, 0.211614
 0.018125, 0.115155
 0.018250, -0.010378
 0.018375, -0.105881
 0.018500, -0.130656
 0.018625, -0.077589
 0.018750, 0.028646
 0.018875, 0.145229
 0.019000, 0.228325
 0.019125, 0.247750
 0.019250, 0.196267
 0.019375, 0.091745
 0.019500, -0.029166
 0.019625, -0.124970
 0.019750, -0.165947
 0.019875, -0.145826
 0.020000, -0.082654
 0.020125, -0.008887
 0.020250, 0.043309
 0.020375, 0.053864
 0.020500, 0.019507
 0.020625, -0.047679
 0.020750, -0.124516
 0.020875, -0.182214
 0.021000, -0.194203
 0.021125, -0.146854
 0.021250, -0.049237
 0.021375, 0.065565
 0.021500, 0.152565
 0.021625, 0.176543
 0.021750, 0.131029
 0.021875, 0.042170
 0.022000, -0.045461
 0.022125, -0.091998
 0.022250, -0.080252
 0.022375, -0.019692
 0.022500, 0.062211
 0.022625, 0.133492
 0.022750, 0.169057
 0.022875, 0.157481
 0.023000, 0.103575
 0.023125, 0.026573
 0.023250, -0.046776
 0.023375, -0.092818
 0.023500, -0.100548
 0.023625, -0.074879
 0.023750, -0.032245
 0.023875, 0.007755
 0.024000, 0.029464
 0.024125, 0.024672
 0.024250, -0.006155
 0.024375, -0.053268
 0.024500, -0.098655
 0.024625, -0.121289
 0.024750, -0.106692
 0.024875, -0.056016
 0.025000, 0.012105
 0.025125, 0.069872
 0.025250, 0.094542
 0.025375, 0.079827
 0.025500, 0.037706
 0.025625, -0.009448
 0.025750, -0.040602
 0.025875, -0.044778
 0.026000, -0.023368
 0.026125, 0.012927
 0.026250, 0.049493
 0.026375, 0.073067
 0.026500, 0.075795
 0.026625, 0.057530
 0.026750, 0.025646
 0.026875, -0.008005
 0.027000, -0.032064
 0.027125, -0.040265
 0.027250, -0.033350
 0.027375, -0.017577
 0.027500, -0.001142
 0.027625, 0.009298
 0.027750, 0.010513
 0.027875, 0.002897
 0.028000, -0.010245
 0.028125, -0.023783
 0.028250, -0.032236
 0.028375, -0.031690
 0.028500, -0.021640
 0.028625, -0.005620
 0.028750, 0.010128
 0.028875, 0.019583
 0.029000, 0.019887
 0.029125, 0.012560
 0.029250, 0.002305
 0.029375, -0.005738
 0.029500, -0.008539
 0.029625, -0.006119
 0.029750, -0.000727
 0.029875, 0.004805
 0.030000, 0.008398
 0.030125, 0.009207
 0.030250, 0.007476
 0.030375, 0.004178
 0.030500, 0.000656
 0.030625, -0.001853
 0.030750, -0.002721
 0.030875, -0.002187
 0.031000, -0.001092
 0.031125, -0.000236
 0.031250, 0.000098
 0.031375, 0.000115
 0.031500, 0.000093
 0.031625, 0.000091
 0.031750, 0.000021
 0.031875, -0.000112
 
