f, X_norm
0.000000, 0.007523
 0.000125, 0.008360
 0.000250, 0.012217
 0.000375, 0.072238
 0.000500, 0.085463
 0.000625, 0.229353
 0.000750, 0.179544
 0.000875, 0.842761
 0.001000, 8.661207
 0.001125, 11.512884
 0.001250, 3.571073
 0.001375, 0.375240
 0.001500, 0.175523
 0.001625, 0.062048
 0.001750, 0.087146
 0.001875, 0.135526
 0.002000, 0.582548
 0.002125, 2.530217
 0.002250, 2.287149
 0.002375, 0.413991
 0.002500, 0.190310
 0.002625, 0.226084
 0.002750, 0.028310
 0.002875, 0.392135
 0.003000, 1.032803
 0.003125, 9.745071
 0.003250, 24.249921
 0.003375, 14.616741
 0.003500, 1.091023
 0.003625, 0.530073
 0.003750, 0.200893
 0.003875, 0.204579
 0.004000, 0.248463
 0.004125, 0.150960
 0.004250, 1.489396
 0.004375, 2.488267
 0.004500, 0.957362
 0.004625, 0.325284
 0.004750, 0.292441
 0.004875, 0.076835
 0.005000, 0.205687
 0.005125, 0.234717
 0.005250, 0.142662
 0.005375, 0.549116
 0.005500, 0.674554
 0.005625, 0.127775
 0.005750, 0.119365
 0.005875, 0.053366
 0.006000, 0.027510
 0.006125, 0.080181
 0.006250, 0.042890
 0.006375, 0.303292
 0.006500, 0.886205
 0.006625, 0.646828
 0.006750, 0.093711
 0.006875, 0.063310
 0.007000, 0.021867
 0.007125, 0.011067
 0.007250, 0.020504
 0.007375, 0.018508
 0.007500, 0.047008
 0.007625, 0.078289
 0.007750, 0.026034
 0.007875, 0.024786
 0.008000, 0.020640
 0.008125, 0.015475
 0.008250, 0.016202
 0.008375, 0.005844
 0.008500, 0.011951
 0.008625, 0.047894
 0.008750, 0.062440
 0.008875, 0.021539
 0.009000, 0.016198
 0.009125, 0.014493
 0.009250, 0.009463
 0.009375, 0.006425
 0.009500, 0.015921
 0.009625, 0.007172
 0.009750, 0.037287
 0.009875, 0.035086
 0.010000, 0.008197
 0.010125, 0.006200
 0.010250, 0.006348
 0.010375, 0.006196
 0.010500, 0.011231
 0.010625, 0.006278
 0.010750, 0.007198
 0.010875, 0.009357
 0.011000, 0.016968
 0.011125, 0.012550
 0.011250, 0.012041
 0.011375, 0.019269
 0.011500, 0.019095
 0.011625, 0.012125
 0.011750, 0.004041
 0.011875, 0.022957
 0.012000, 0.026543
 0.012125, 0.010150
 0.012250, 0.001911
 0.012375, 0.010498
 0.012500, 0.005771
 0.012625, 0.004663
 0.012750, 0.004801
 0.012875, 0.004904
 0.013000, 0.019203
 0.013125, 0.023243
 0.013250, 0.012615
 0.013375, 0.010308
 0.013500, 0.011045
 0.013625, 0.003869
 0.013750, 0.004914
 0.013875, 0.002450
 0.014000, 0.006250
 0.014125, 0.010147
 0.014250, 0.008143
 0.014375, 0.006316
 0.014500, 0.011516
 0.014625, 0.003166
 0.014750, 0.008799
 0.014875, 0.005247
 0.015000, 0.007054
 0.015125, 0.010222
 0.015250, 0.008540
 0.015375, 0.008886
 0.015500, 0.007833
 0.015625, 0.003088
 0.015750, 0.003026
 0.015875, 0.006231
 0.016000, 0.005122
 0.016125, 0.004645
 0.016250, 0.001715
 0.016375, 0.003564
 0.016500, 0.008915
 0.016625, 0.004097
 0.016750, 0.007887
 0.016875, 0.008906
 0.017000, 0.006535
 0.017125, 0.005977
 0.017250, 0.006481
 0.017375, 0.006120
 0.017500, 0.007171
 0.017625, 0.007346
 0.017750, 0.004519
 0.017875, 0.005206
 0.018000, 0.004820
 0.018125, 0.002413
 0.018250, 0.006842
 0.018375, 0.005593
 0.018500, 0.005582
 0.018625, 0.009393
