t, X_wave
0.000125, 0.043121
 0.000250, 0.014740
 0.000375, -0.003174
 0.000500, -0.021454
 0.000625, -0.001892
 0.000750, 0.017303
 0.000875, 0.035339
 0.001000, 0.060516
 0.001125, 0.033569
 0.001250, 0.015472
 0.001375, -0.023590
 0.001500, -0.071442
 0.001625, -0.073303
 0.001750, -0.080872
 0.001875, -0.069702
 0.002000, -0.023163
 0.002125, -0.025879
 0.002250, 0.021515
 0.002375, -0.058868
 0.002500, -0.175446
 0.002625, -0.217773
 0.002750, -0.360809
 0.002875, -0.283813
 0.003000, -0.187378
 0.003125, -0.072113
 0.003250, 0.162689
 0.003375, 0.221497
 0.003500, 0.255737
 0.003625, 0.222443
 0.003750, 0.054718
 0.003875, -0.032654
 0.004000, -0.118744
 0.004125, -0.149200
 0.004250, -0.091980
 0.004375, -0.035919
 0.004500, 0.021637
 0.004625, 0.039612
 0.004750, 0.046021
 0.004875, 0.013855
 0.005000, 0.009033
 0.005125, 0.035736
 0.005250, 0.048157
 0.005375, 0.091431
 0.005500, 0.081757
 0.005625, 0.026123
 0.005750, -0.005737
 0.005875, -0.065063
 0.006000, -0.058594
 0.006125, 0.006866
 0.006250, 0.059418
 0.006375, 0.150391
 0.006500, 0.175812
 0.006625, 0.150421
 0.006750, 0.111511
 0.006875, 0.030945
 0.007000, -0.003845
 0.007125, -0.014343
 0.007250, 0.004700
 0.007375, 0.038116
 0.007500, 0.050446
 0.007625, 0.050781
 0.007750, 0.013824
 0.007875, -0.007874
 0.008000, -0.030518
 0.008125, -0.023468
 0.008250, 0.013885
 0.008375, 0.026184
 0.008500, 0.056793
 0.008625, 0.049316
 0.008750, 0.017548
 0.008875, -0.009094
 0.009000, -0.060272
 0.009125, -0.081665
 0.009250, -0.087494
 0.009375, -0.077850
 0.009500, -0.045746
 0.009625, -0.009125
 0.009750, 0.010681
 0.009875, -0.114258
 0.010000, -0.169006
 0.010125, -0.282745
 0.010250, -0.361481
 0.010375, -0.227997
 0.010500, -0.173340
 0.010625, 0.032410
 0.010750, 0.218567
 0.010875, 0.227173
 0.011000, 0.279938
 0.011125, 0.157562
 0.011250, -0.005310
 0.011375, -0.064972
 0.011500, -0.167725
 0.011625, -0.144440
 0.011750, -0.068146
 0.011875, -0.024292
 0.012000, 0.042328
 0.012125, 0.050903
 0.012250, 0.039093
 0.012375, 0.018707
 0.012500, 0.022369
 0.012625, 0.045410
 0.012750, 0.069763
 0.012875, 0.108276
 0.013000, 0.072205
 0.013125, 0.023621
 0.013250, -0.029938
 0.013375, -0.097595
 0.013500, -0.064423
 0.013625, -0.011902
 0.013750, 0.066223
 0.013875, 0.164917
 0.014000, 0.173553
 0.014125, 0.164886
 0.014250, 0.109589
 0.014375, 0.031219
 0.014500, -0.000702
 0.014625, -0.017517
 0.014750, 0.005707
 0.014875, 0.029755
 0.015000, 0.043121
 0.015125, 0.033569
 0.015250, 0.001404
 0.015375, -0.014404
 0.015500, -0.032532
 0.015625, -0.010101
 0.015750, 0.027985
 0.015875, 0.049652
 0.016000, 0.074799
 0.016125, 0.050323
 0.016250, 0.015381
 0.016375, -0.030029
 0.016500, -0.081024
 0.016625, -0.083344
 0.016750, -0.091675
 0.016875, -0.067688
 0.017000, -0.025177
 0.017125, -0.011230
 0.017250, 0.028381
 0.017375, -0.096558
